Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
ambeng; menyajikan makanan;ngamben ;  ; 
ngamben ; menyajikan makanan;ambeng ;  ; 
ambeu ; bau;bau ; angseu ; 
ambles ; masuk semua;tilelep ; asup ; 
ambling ; lama sekali tidak ada kabar; ;  ; 
ambrug ; runtuh, ambruk;burak ;  ; 
ambu ; ibu;biang ; ibu ; indung
ambucuy ; menimbulkan selera; ;  ; 
ambul; muncul di;ngambul ;  ; 
ngambul ; muncul di;ambul ;  ; 
ambung ; mencium;angseu ; galentor ; 
amburadul ; rusak;garah ; ruksak ; burak
ameng ; main;aber ; ngaber ; aber aberan
amis ; manis;ngeunah ;  ; 
amis cangkeng ; sj penganan dr tepung dibungkus dng daun di dalamnya diisi gula; ;  ; 
amit; minta izin;pamit ; pamitan ; 
pamit; minta izin;amit ; pamitan ; 
pamitan ; minta izin;amit ; pamit ; 
amlongan ; becek;belok ; cabrek ; cebrek
among; hanya;mung ; naming ; han
mung; hanya;among ; naming ; han
naming ; hanya;among ; mung ; han
ampar ; hampar; ;  ; 
ampeg ; berat berisi;beurat ;  ; 
ampet ; sengaja menyumbat;tutup ;  ; 
ampeuh ; tahan;candet ; atah ; belet
ampih; kembali ke tempat asal;ngampih ;  ; 
ngampih ; kembali ke tempat asal;ampih ;  ; 
ampir ; hampir;bis ;  ; 
amprok ; bertemu;papendak ; pendak ; 
amprut; berjalan kadang kadang;amprut-amprutan ;  ; 
amprut-amprutan ; berjalan kadang kadang;amprut ;  ; 
amrih ; maksud;maksad ; neja ; 
amuk ; mengamuk; ;  ; 
anak ; anak;putra ; bati ; 
anca ; pelan, tidak keras;lalaunan ;  ; 
ancak ; anyaman dari bambu; ;  ; 
ancik; diam di tempat;ngacik ;  ; 
ngacik ; diam di tempat;ancik ;  ; 
ancin ; makan sedikit; ;  ; 
anclang; pergi jauh;nganclang ;  ; 
nganclang ; pergi jauh;anclang ;  ; 
anclom ; kena atau masuk; ;  ; 
anclong; pergi tanpa tujuan;nganclong ;  ; 
nganclong ; pergi tanpa tujuan;anclong ;  ; 
anclub ; turun ke air;nyilem ;  ; 
anco ; sedang;keur ; nedeng ; nuju
ancrub ; turun ke dalam air;nyusup ; asup ; 
