Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
brung ko ; utk bunyi rebana, tambur, dsb;bengeh ; bared ; barera
brus ka ; utk mandi at utk memasukkan barang ke dim air, utk direndam at direbus; ;  ; 
buah ; mangga;manggah ;  ; 
bual; kabual terganti lagi; ;  ; 
buana ; benua, daratan yg sangat luas; ;  ; 
buana panca tengah ; alam dunia; ;  ; 
buang; bubuang berak, buang air besar; ;  ; 
buangan ; orang hukuman yg dibuang; ;  ; 
buat; hasil pekerjaan;bubuatan ;  ; 
bubuatan ; hasil pekerjaan;buat ;  ; 
buaya ; buaya; ;  ; 
bubat babit ; bergerak ke kiri dan ke kanan; ;  ; 
bubu ; alat penangkap ikan; ;  ; 
bubuara ; pergi dr kampung halaman kemudian menetap di tempat lain krn mendapat kesenangan dan tdk berniat utk kembali ke kampung asal; ;  ; 
bubuay ; bunga rotan; ;  ; 
bubud ; kotor oleh rumput-rumputan krn tdk dipelihara; ;  ; 
bubudakan ; lensa mata; ;  ; 
bubudur ; lendir; ;  ; 
bubuh ripuh ; kesusahan;pakewuh ; deruk ; ngaderuk
bubuhan ; setidaknya;teu ;  ; 
bubuhara ; bubuara;buniaga ;  ; 
bubujeng ; berburu;boro 2 ; bujeng ; moro
bubul ; lepas, lari, terbawa air (ikan dr empang yg tambaknya bobol);bolonyon ; ngabolonyon ; mo
bubulak ; tegalan di iereng gunung at bukit; ;  ; 
buburak; mengusir, mengejar-ngejar gerombolan (orang at binatang);ngabuburak ; tundung ; 
ngabuburak ; mengusir, mengejar-ngejar gerombolan (orang at binatang);buburak ; tundung ; 
buburuhun ; mau  melakukan pekerjaan kasar walaupun bukan pekcrjaannya; ;  ; 
bubus; bersembunyi, di tempat yg sunyi, utk menghindari bahaya, masuk ke dim lumpur;mubus ;  ; 
mubus ; bersembunyi, di tempat yg sunyi, utk menghindari bahaya, masuk ke dim lumpur;bubus ;  ; 
bubut; membubut;ngabubut ;  ; 
ngabubut ; membubut;bubut ;  ; 
bubuy; memasukkan (singkong, ubi) ke dim abu panas;mubuy ; bubus ; 
mubuy; memasukkan (singkong, ubi) ke dim abu panas;bubuy ; bubus ; 
bubus ; memasukkan (singkong, ubi) ke dim abu panas;bubuy ; mubuy ; 
bucat ; pecah (sesuatu yg mengandung zat air), mis telur, bisul, jeruk, dsb;bengeh ; bared ; barera
bucit ; buncit, terakhir;bucitreuk ; buncir ; buncireung
bucitreuk ; buncit;buncir ; buncireung ; gendang
bucuk ; burung hantu, celepuk; ;  ; 
budah ; buih; ;  ; 
budak ; anak-anak; ;  ; 
budak beulian ; budak belian, abid; ;  ; 
budal ; bubar dr tempat berkumpul; ;  ; 
budaya ; budaya; ;  ; 
budayut at dayut ; gendut (lebih besar dr buncit); ;  ; 
buded; melindungi at mengikat kepala dng kain;ngabuded ;  ; 
ngabuded ; melindungi at mengikat kepala dng kain;buded ;  ; 
budeng ; gagu, bisu;pireu ;  ; 
buder; sekeliling, sekitar;budeur ; sabudeur ; 
budeur; sekeliling, sekitar;buder ; sabudeur ; 
sabudeur ; sekeliling, sekitar;buder ; budeur ; 
budra-bidru ; tergesa-gesa;beredeg ; kaberedeg ; 
budug ; kudis; ;  ; 
bueuk ; burung ahntu; ;  ; 
bugang ; bangkai; ;  ; 
bugbrug; bertumpuk banyak tapi tidak tersusun;ngabugbrug ;  ; 
ngabugbrug ; bertumpuk banyak tapi tidak tersusun;bugbrug ;  ; 
bugel ; bontot , muara sungai yg pd musim kemarau tertutup pasir yg dibawa ombak;bobontot ;  ; 
bugigag ; menggeletak tanpa bergerak benda yg besar; ;  ; 
buhahang ; terbuka lebar (juka besar bekas dibacok); ;  ; 
buhul; tersedak makanan (tak bisa ditelan);kabuhulan ;  ; 
kabuhulan ; tersedak makanan (tak bisa ditelan);buhul ;  ; 
buhun ; kuno; ;  ; 
buis; simpang siur, hilir mudik;pabuis ;  ; 
pabuis ; simpang siur, hilir mudik;buis ;  ; 
buit. bibit buit ; asal mula, asal keturunan, at tempat tinggal; ;  ; 
bujak; keluar dr dim tanah, spt air yg mendidih (mata air);ngabulak ;  ; 
ngabulak ; keluar dr dim tanah, spt air yg mendidih (mata air);bujak ;  ; 
bujal ; pusar; ;  ; 
bujangan ; jejaka;jajaka ;  ; 
bujeng ; buru;moro ; boro 2 ; bubujeng
bujil ; miskin sekali;bosetek ;  ; 
bujur ; pantat;birit ; imbit ; 
buk-bak ; obrak-abrik; ;  ; 
bukbak; membuka hutan (pohon-pohon nya ditebang);ngabukbak leuweun ;  ; 
ngabukbak leuweun ; membuka hutan (pohon-pohon nya ditebang);bukbak ;  ; 
buktos ; bukti; ;  ; 
buku ; buku; ;  ; 
bul ka ; untuk mengepul; ;  ; 
bulaeb; dikatakan kpd orang yg makan sirih. dan mengeluarkan ludah merah dr mulutnya;ngabulaeh ;  ; 
ngabulaeh ; dikatakan kpd orang yg makan sirih. dan mengeluarkan ludah merah dr mulutnya;bulaeb ;  ; 
bulan ; bulan;badra ; sasih ; 
bulan alaeun ; bulan kesembilan (orang yg hamii); ;  ; 
bulan pumama ; terang bulan tanggal empat belas; ;  ; 
bulao ; biru langit; ;  ; 
bulen; dibungkus;dibulen ;  ; 
dibulen ; dibungkus;bulen ;  ; 
buleneng at leneng ; gundul;boleklak ; buliklak ; bolenang
buleng ; keranjang tempat ikan; ;  ; 
buleud ; bulat; ;  ; 
buligir ; tak berbaju; ;  ; 
buliklak; terang krn pohon-pohonnya habis ditebang;ngabuliklak ;  ; 
ngabuliklak ; terang krn pohon-pohonnya habis ditebang;buliklak ;  ; 
bulistir ; gundul, tidak ada pohonpohonan;boleklak ; buliklak ; bolenang
bulubus ka ; utk masuk perlahanlahan dan secara diam-diam; ;  ; 
buludru ; beledu; ;  ; 
buluk ; bakteri at jamur yg tumbuh pada barang yg sudah lama at sudah basi; ;  ; 
bulukusutun ; rudin; ;  ; 
bulungbung; terbuka, tidak terhalang apa-apa (jalan, lorong. dsb);ngabulungbung ; ablag ; boker
ngabulungbung ; terbuka, tidak terhalang apa-apa (jalan, lorong. dsb);bulungbung ; ablag ; boker
bulus ; kura-kura;kuya ;  ; 
bulustru ; tumbuh-tumbuhan yg merambat; ;  ; 
bum tuli ; sangat bodoh, tak tahu apaapa; ;  ; 
bumi ; rumah;imah ; rorompok ; 
bunar ; bambu kecil; ;  ; 
buncelik ; terbelalak;bolotot ; burial buncelik ; 
buncir ; buncit;bucitreuk ; buncireung ; gendang
buncireung ; buncit;bucitreuk ; buncir ; gendang
bungah ; gembira , suka cita;berag ; bingah ; gerah
bungah amarwatasuta ; sangat bersuka cita; ;  ; 
bungangang ; merasa berlega hati, berlapang dada; ;  ; 
bungaok ; hantu;jurig ; ririwa ; siluman
bungbang ; terang (tempat yg pohon-pohonnya habis ditebang), berantakan, rusak sarna sekali (kampung yg dirusak oleh musuh);bacacar ; baruntak ; busak-basik
bungbas ; dikatakan kpd ruas bambu at bumbung yg berlubang pd kedua ujungnya; ;  ; 
bungbu ; bumbu; ;  ; 
bungbulang ; pohon jambu; ;  ; 
bungbung ; bumbung, ruas; ;  ; 
bunghak ; perut kembung (masuk angin); ;  ; 
bungin ; pulau di muara sungai, delta; ;  ; 
bungka ; ular;oray ;  ; 
bungkak ; burung yg sering berbunyi krn sedang timbul rasa birahi at makan kenyang; ;  ; 
bungkang; penuh dng air (perut) mis yg mati tenggelam;bungkiang ;  ; 
bungkiang ; penuh dng air (perut) mis yg mati tenggelam;bungkang ;  ; 
bungkeuleukan ; terlihat wujudnya; ;  ; 
bungkil ; ampas kacang tanah yg telah diambilminya; ;  ; 
bungkul ; bisul keras pd selangkangan, penyakit kotor, pohon aren yg pernah disadap kemudian berhenti dan tidak berbunga lagi, mata pd kayu at bambu;bengang ;  ; 
buni ; tak mudah terlihat at sukar ditemukan; ;  ; 
buniaga ; bubuara;bubuhara ;  ; 
buntal ; sj ikan laut; ;  ; 
buntala ; bumi at permukaan bumi; ;  ; 
buntar ; jauh dr sumber air; ;  ; 
bunteian ; barang yg dibungkus dng kain; ;  ; 
buntek ; buntal; ;  ; 
buntel ; bungkus dr kain; ;  ; 
buntet ; besar tapi pendek; ;  ; 
buntut ; ekor; ;  ; 
bura ; mura menyemburkan air dsb dr mulut; ;  ; 
burabay menyala ; memancarkan sinar merah; ;  ; 
burah-bareh ; mengotori badan at pakaian dng benda encer, mis parem, bubur, kotoran, dsb;bengeh ; bared ; barera
burahol ; sb pohon, buah dan pohonnya hampir spt sawo; ;  ; 
burak ; runtuh, rusak;ambrug ; amburadul ; garah
burakrakan ; hancur berantakan; ;  ; 
burang ; ranjau dr bambu; ;  ; 
burantak; rusak sekali sampai bagian-bagiannya berantakan;paburantak ;  ; 
paburantak ; rusak sekali sampai bagian-bagiannya berantakan;burantak ;  ; 
burayut ; lebih besar dr budayut; ;  ; 
buret; baruten;burereteun ;  ; 
burereteun ; baruten;buret ;  ; 
bureuteu ; perut yg besar krn gemuk at krn penyakit; ;  ; 
burey ; masih kecil (kanak- kanak); ;  ; 
burhan ; tanda at bukti kebenaran yg nyata; ;  ; 
buri ; belakang;pengker ; tukang ; 
buriak ; bubar (tak teratur); ;  ; 
burial buncelik ; membelalak, melotot seolah-olah biji matanya mau keluar;bolotot ; buncelik ; 
burial ka ; utk air besar yg keluar dr dl tanah; ;  ; 
burindil ; tidak berbulu (ayam dsb); ;  ; 
buringkal ka ; utk yg keluar dr dalam tanah secara mendadak; ;  ; 
burintik ; pici bayi dr kain yg disambung-sambung; ;  ; 
burit ; senja; ;  ; 
buru ; lekas; ;  ; 
buruan ; halaman rumah;pakarangan ;  ; 
burubul ka ; utk orang yg berdatangan pd waktu yg sarna; ;  ; 
burubut ka ; utk buah yg berjatuhan hampir bersamaan; ;  ; 
burudul ; murudul berlepasan (mis bulu ayam dr kemucing); ;  ; 
buruh ; upah; ;  ; 
burujul ; bajak tanpa lanjam; ;  ; 
burundul ; burindil; ;  ; 
burung ; batal, gagal, tidak jadi, gila , sinting;bedo ; gagal ; gelo
burusut ; borosot; ;  ; 
bus ka ; utk masuk : manehna asup , masuklah ia; ;  ; 
busak-basik ; berantakan;bacacar ; baruntak ; bungbang
busiat ; mengeluarkan kotoran dng tidak terasa at tidak disengaja krn sakit mencret; ;  ; 
busik ; kusut, luka sedikit;beulit ; pajurawet ; 
busil ; memakai pakaian yg sudah tidak pantas (layak lagi) dipakai oleh orang terhormat; ;  ; 
buta ; raksasa; ;  ; 
buta terong ; orang yg jelek dan rakus, tidak dapat melihat, tuna netra; ;  ; 
butak ; botak;bolenang ;  ; 
butik ; ngabutik mengupas kelapa (melepaskan tempurungnya); ;  ; 
butin ; busil; ;  ; 
butiti ; sisiran pisang yg paling bawah dan paling kecil pd tandan; ;  ; 
butuh ; perlu;peryogi ;  ; 
butun ; pohon kayu yg daunnya lebar (terdapat di tepi pantai), kain penutup sangkar burung bagian atas; ;  ; 
butut ; jelek;goreng ; gote ; 
buyeng ; kotor oleh debu;beyetuk ;  ; 
buyung ; tempayan kecil (tempat air at beras dr tanah liat, lebih kecil dr tempayan dan lehernya agak panjang; ;  ; 
buyur ; anak katak; ;  ; 
caah ; banjir, air bah;berungkak ; guntur ; 
caah dendeng ; banjir yg tidak disangkasangka karena hujan di hulu, banjir bandang; ;  ; 
caang ; terang;padang ; cekas ; bitotoma
caang bulan opat welas ; jalan gede sasapuan ikhlas, rido, rela; ;  ; 
cabak ; raba , tingkah laku;nyabak ;  ; 
cabar ; hilang kebenaran, takut, penakut, tawar hati;gigis ; sieun ; borangan
cabok ; tampar;gampleng ; tampiling ; 
cabol ceboi ; orang yg pendek sekali; ;  ; 
cabrek ; becek, bersama-sama masuk ke satu iubang (beberapa buah kemiri at kelereng, dalam permainan), bereampur aduk (orang at barang);amlongan ; belok ; cebrek
cacag ; cincang;nyacag ;  ; 
cacag nangkaeun ; pekerjaan yg kurang baik krn tidak teratur melaksanakannya; ;  ; 
cacak ; meski; ;  ; 
cacak at cacakan ; walaupun;dalah ; ladalah ; lakadala
cacaka ; kepompong; ;  ; 
cacalakatakan ; tertawa nikmat berkali-kali; ;  ; 
cacaleuhakan ; makan senang-senang dng tidak memperhatikan kesopanan; ;  ; 
cacampah; merendahkan keahlian at derajat orang lain, menghinakan;nyacampah ; doip ; nista
nyacampah ; merendahkan keahlian at derajat orang lain, menghinakan;cacampah ; doip ; nista
cacantel ; alat yg ujungnya melengkung spt kaitan; ;  ; 
cacap ; habis, jujur,sangat;seep ; jujur ; beurat
cacapek ; rahang bawah; ;  ; 
cacarakan ; abjad sunda; ;  ; 
cacarekan ; nadar, kaul; ;  ; 
cadel pelat ; tidak at. belum dapat mengucapkan bunyi r; ;  ; 
cadok ; dagu yg menjorok ke depan; ;  ; 
cadong ; ompreng utk pesakitan; ;  ; 
cadu ; tak pernah;pantrang ;  ; 
caduk tahi ; kotoran manusia; ;  ; 
caduk waluh ; isi labu besar yg mernbungkus bijinya, warnanya kuning dan lembek; ;  ; 
cag ka ; utk meletakkan at menunda pekerjaan; ;  ; 
cagak ; cabang; ;  ; 
cagem ; sehat jasmani dan rohani sernbuh; ;  ; 
cager ; batas;wates ; dicagerana ; 
cageur ; sehat;jagjag ; walagri ; waluya
cahak ; kernauan, kehendak, keperluan;dek ;  ; 
cahara ; kehormatan, harga dirl;rengkuh ;  ; 
caheum ; tulang rahang bawah, bk mulut; ;  ; 
cahuleun ; tidak berdaya karena panik, bingung;antek ;  ; 
cai ; air;bayabah. ngabayabah ; baseuh ; 
caiangap ; membuka mulut (spt mau nyuap dsb); ;  ; 
cak; utk menentukan tidak boleh diubah lagi;cak-cung ka ;  ; 
cak-cung ka ; utk menentukan tidak boleh diubah lagi;cak ;  ; 
cakah-cikih ; bekerja sibuk sambil ke sana kemari, pura-pura sibuk krn ingin dipuji; ;  ; 
cakcak ; cecak; ;  ; 
cakclak ; tetes; ;  ; 
caket ; bl dekat; ;  ; 
cakeutreuk ka ; utk menekankan warna hitam; ;  ; 
cakueum ; agak gelap dan menyeramkan (rumah at pekarangan); ;  ; 
calacah ; abu rokok;calakah ;  ; 
cala-culu ; bicara tidak keruan, spt anak kecil, kurang ajar, tolol tidak tahu sopan santun;bangkawarah ; cucungah ; culangung
caladi ; burung pelatuk; ;  ; 
calakah ; abu rokok;calacah ;  ; 
calakan ; cerdas, pintar;pinter ;  ; 
calakatak ka ; utk tertawa nikmat; ;  ; 
calana ; celana;lancingan ; morokodokdok ; 
calawak ; membuka mulut lebarlebar, menganga; ;  ; 
caletot ; keceplosan ngomong; ;  ; 
caletot; tidak sengaja menyebutkan kata-kata yg bersifat rahasia, terseleo dim bicara;kacaletot ;  ; 
kacaletot ; tidak sengaja menyebutkan kata-kata yg bersifat rahasia, terseleo dim bicara;caletot ;  ; 
caletre; agak kotor, tdk begitu bersih (mata anak-anak); ;  ; 
caletre ; agak kotor, tdk begitu bersih (mata anak-anak); ;  ; 
caleuhak; makan senang, tanpa menghiraukan sopan santun; ;  ; 
caleuy ; lesu, spt kurang bergairah, kuyu, tidak bersinar (mata);ceuleuyeu ;  ; 
calik ; duduk;diuk ; dengklang ; ngadengklang
calikong; menggunakan uang at barang titipan utk kepentingan pribadi, korupsi;nyalikong ;  ; 
nyalikong ; menggunakan uang at barang titipan utk kepentingan pribadi, korupsi;calikong ;  ; 
calimbam at cumalimba ; berlinang air mata, tetapi tidak jatuh menitik; ;  ; 
calimud ; panjang tangan;ceceremed ;  ; 
calobak ; kolam kecil yg masih berair di dasar sungai pd musim kernarau; ;  ; 
caluntang; lancang, tidak tahu sopan-santun;calutak ;  ; 
calutak ; lancang, tidak tahu sopan-santun;caluntang ;  ; 
cambay ; sirih hutan; ;  ; 
cambepem; tembam;camepem ;  ; 
camepem ; tembam;cambepem ;  ; 
camberok; memakai bedak yg terlalu tebal dan tidak beraturan sehingga tidak pantas dilihatnya;camerok ;  ; 
camerok ; memakai bedak yg terlalu tebal dan tidak beraturan sehingga tidak pantas dilihatnya;camberok ;  ; 
camberut ; cemberut; ;  ; 
cambeti cameti ; cambuk kecil dan pendek, cemeti; ;  ; 
cambewek-camewek ; dingin sekali;cebrek ;  ; 
cambling; berbicara tidak keruan spt orang mengigau;ngacambling ;  ; 
ngacambling ; berbicara tidak keruan spt orang mengigau;cambling ;  ; 
cambutrak; basah dan berbusa;camutrak ;  ; 
camutrak ; basah dan berbusa;cambutrak ;  ; 
cameot ; duduk seorang diri di tempat sunyi, spt sengaja menjauhkan diri dr kerarnaian krn takut at malu; ;  ; 
cameubleu ; diarn, tidak rnengalir (air), diam tidak  bekerja rnalahan bicara pun tldak, dagangan yg tidak laku; ;  ; 
cameuh ; rahang bawah rnenjulur ke depan rnelebihi rahang atas; ;  ; 
camihmil ; pipinya agak ternbam krn gernuk; ;  ; 
campala ; pemukul dari kayu yg dipergunakan oleh dalang utk memukul kotak wayang dan kecrek; ;  ; 
campego ; duduk at jongkok spt ada yg sedang ditunggu-tunggu; ;  ; 
campelak ; berani melawan kpd orang tua at yg lebih tua lancang, kuranng ajar; ;  ; 
camperenik ; kecil, tetapi menarik, lucu (rumah), kecil namun cantik (anak gadis);alit ; eutik ; leutik
campieng ; genap, penuh (waktu);sakabeh ;  ; 
camplang ; kurang at tidak menarik hati (tontonan. pidato, dsb);bebeur ; bayabah. ngabayabah ; bekeh
campoiah ; tidak hati-hati, tidak tekun, tidak sungguh-sungguh dim menghadapi pekerjaan, sawo kecik (n buah); ;  ; 
campuh ; sudah tidak teratur lagi barisannya; ;  ; 
camuil; dikatakan kpd yg sedang makan sesuatu dan seperti nikmat sekali;cacamuilan ;  ; 
cacamuilan ; dikatakan kpd yg sedang makan sesuatu dan seperti nikmat sekali;camuil ;  ; 
camunuk ; jongkok di tempat agak gelap dng berkerudung kain; ;  ; 
can; belum;acan ; tacan ; encan
acan; belum;can ; tacan ; encan
tacan ; belum;acan ; can ; encan
candael ; â orang yg berbicaranya lambat at pelan-pelan sekali; ;  ; 
candak ; ambil;cokot ; ala ; ngala
candeluk ; duduk beberapa saat lamanya spt ada yg dinantikan; ;  ; 
candet ; tahan;ampeuh ; atah ; belet
candoli ; perempuan yg mcnjaga dan mengatur makanan di tempat kenduri at yg mengurus keuangan dim organisasi, bendahari; ;  ; 
candung; beristrl lebih dr satu, poligami;nyandung ;  ; 
nyandung ; beristrl lebih dr satu, poligami;candung ;  ; 
canebrang ; bening;herang ;  ; 
canebrang herang ; sangat bening, jernih (air sungal, talaga, empang. dsb); ;  ; 
caneom ; agak gelap dan menyeramâ· kan (hutan, pekuburan); ;  ; 
caneut akr dr cai haneut ; air hangat; ;  ; 
cangangang ; bentak;nyangangang ;  ; 
cangcang ; tambat, ikat;cangked ; beungkeut ; cangreud
cangcaya ; kurang percaya, kurang yakin; ;  ; 
cangeut ; cawat, celana dalam;cawet ; kolor ; 
canggala ; cela, noda, aib, kejelekan;cawad ; cegek ; 
canggalak ; belenggu, borgol;barogod ; belok ; ngaborogod
canggeum ; genggam;keupeul ;  ; 
cangkaieng ; kolang-kaling, biji buah; ;  ; 
cangkang ; kulit (buah-buahan, ketupat, dsb);bebeur ; bayabah. ngabayabah ; bekeh
cangked ; tambat;cangcang ;  ; 
cangkem ; mulut;baham ; sungut ; 
cangkeng ; pinggang,;angkeng ;  ; 
cangker ; cekatan, lincah, gesit, segar, kuat, sehat;cingceng ; bedas ; belejag
cangkeul ; pegal-pegal, rasa tidak enak pada bagian badan karena otot-ototnya dipergunakan terus menerus; ;  ; 
cangkeweng ; rasa sakit pd tangan karcna menjinjing beban yg berat at terlalu lama; ;  ; 
cangkewok; tinggal di tempat yg sempit;nyangkewok ;  ; 
nyangkewok ; tinggal di tempat yg sempit;cangkewok ;  ; 
cangking ; pegang;cekel ;  ; 
cangklek; pegangan cangkir, teko, dsb;sacangklek ; bengeh ; bared
sacangklek ; pegangan cangkir, teko, dsb;cangklek ; bengeh ; bared
cangkol ; sangkut;nyangsang ;  ; 
cangkolong ; kurangi;kirang ; kurang ; mineus at minus
cangkorang-bongkang ; barang-barang, perabot rumah tangga dsb yg tidak berharga; ;  ; 
cangkurawok ; burung yg pandai mengoceh spt cucakrawa; ;  ; 
cangkurileung ; burung kutilang; ;  ; 
cangogo; jongkok;cingogo ;  ; 
cingogo ; jongkok;cangogo ;  ; 
cangor ; tidak empuk (singkong, ubi, dsb);bebeur ; bayabah. ngabayabah ; bekeh
cangra ; langit terang, tidak mendung; ;  ; 
cangreud ; ikatan, simpul;beungkeut ; cangcang ; nyangcang
cangreud lepas ; simpul mati; ;  ; 
cangreud mulang ; simpul yg sudah dibuka lagi; ;  ; 
cantel ; kait;patali ;  ; 
cantik ; geulis; ;  ; 
canting ; gayung kecil, alat utk menyendok air dsb , alat utk membantik; ;  ; 
cantula; melarang, menghajang-halangi, memperingatkan;nyantula ; caram larang ; nyaram
nyantula ; melarang, menghajang-halangi, memperingatkan;cantula ; caram larang ; nyaram
caor ; salah satu alat tenun, gunanya utk mengengkan tenunan; ;  ; 
caos ; nyaosan memenuhi, menyediakan; ;  ; 
capa ; raba (sambi! agak agak ditekan); ;  ; 
capang ; menjorok ke kanan dan ke kiri (tanduk kerbau); ;  ; 
cape ; lelah;lungse ;  ; 
capek ; kunyah; ;  ; 
capek rahem ; sering makan, tak tentu waktunya; ;  ; 
capetang ; pandai berbicara; ;  ; 
capit ; jepit;cepet (curek) ;  ; 
caplak ; alat utk membuat garisgaris di sawah yg akan ditanami padi, dicaplak , (sawah yg akan ditanduri) digarisi supaya lurus jajarannya; ;  ; 
cara ; kue dr tepung pakai gula (spt serabi),  aturan mengerjakan sesuatu; ;  ; 
caracal at carahcal; berjatuhan sepanjang jalan,  berjauhan letaknya dan tdk beraturan;nyar ; naratayan ; 
nyar ; berjatuhan sepanjang jalan,  berjauhan letaknya dan tdk beraturan;caracal at carahcal ; naratayan ; 
caram ; larang;cantula ; nyantula ; caram larang
caram larang; melarang;nyaram ; nyarek ; pagak
nyaram ; melarang;caram larang ; nyarek ; pagak
carang ; jarang;carengcang ; corengcang ; 
carangcang tihang ; waktu setelah fajar; ;  ; 
carangka ; keranjang yg terbuat dr bambu; ;  ; 
carangka runtah ; tempat sampah,dikatakan kpd orang yg rakus serba dimakan; ;  ; 
carat ; pancuran teko, cerek embrat, dsb;bengeh ; bared ; barera
caratan ; teko kecil dr tanah liat; ;  ; 
carecet ; sapu tangan; ;  ; 
careham ; geraham; ;  ; 
carek ; katanya;ongkoh ; basana ; ceuk
carem ; mati semua, musnah; ;  ; 
caremot ; kotor oleh makanan dsb (muka anak-anak); ;  ; 
carengcang ; jarang;carang ; corengcang ; 
careuh ; musang, luak; ;  ; 
careuh bulan ; musang yg mukanya berwarna putih; ;  ; 
careuheun ; anak kecil (masih menyusu) yg menangis terus; ;  ; 
cari ; usaha;tarekah ; usaha ; 
caria ; benci,jijik;ceuceub ; ngewa ; birigidig
carindakdak ; berkaca-kaca (air mata); ;  ; 
caringcing ; hati-hati waspada; ;  ; 
caringin ; beringin;kahayang ;  ; 
carios ; cerita;carita ; gelendut ; nyaritakeun
carita ; cerita;carios ; gelendut ; nyaritakeun
carnah; diusap mukanya dng telapak tangan (yg pingsan at kesurupan), tangan yg akan diusapkan terlebih dahulu dipegangkan kpd kernaluan sendiri akan diusapkan terlebih dahulu dipegangkan kpd kernaluan sendiri;dicarnahan ;  ; 
dicarnahan ; diusap mukanya dng telapak tangan (yg pingsan at kesurupan), tangan yg akan diusapkan terlebih dahulu dipegangkan kpd kernaluan sendiri akan diusapkan terlebih dahulu dipegangkan kpd kernaluan sendiri;carnah ;  ; 
caroge ; suami;salaki ;  ; 
carpon ; cerpen; ;  ; 
carulang ; rumput yang daunnya hijau kekuning-kuningan, warna kulit perempuan yang dianggap bagus kuning langsat; ;  ; 
caruluk ; buah aren; ;  ; 
catih ; huma; ;  ; 
catrok; terantuk(dagu);ticatrok ;  ; 
ticatrok ; terantuk(dagu);catrok ;  ; 
catur ; 1 berita, 2 permainan; ;  ; 
caturangga ; ilmu pengetahuan untuk mengetahui baik tidaknya binatang yang akan dipelihara (kucing, kuda), ramalan, perhitungan baik buruknya perjodohan; ;  ; 
cau ; pisang, amis cau, rambut halus dan pendek yang tumbuh kedepan pada jidat perempuan;tempeat dempet ;  ; 
cau badud ; pisang kole; ;  ; 
cawad ; cela, nyawad, menceritakan kesalahan at kekurangan orang lain, mencela;canggala ; cegek ; 
cawel ; mencolek dagu dari sebelah bawah; ;  ; 
cawene ; perawan;parawan ; reueuk ; 
cawerang ; 1 terlalu encer, terlalu banyak airnya (sayur, air kopi, dsb), 2 sepi, kurang lucu (cerita, lawak, dsb);bebeur ; bayabah. ngabayabah ; bekeh
cawet ; cawat, celana dalam;cangeut ; kolor ; 
cawidwid; rambut kusut karena tidak lurus;ngawidwid ;  ; 
ngawidwid ; rambut kusut karena tidak lurus;cawidwid ;  ; 
cawis ; sedia,;sayogi ; anjeunna ; manehna
cawokah ; porno, kata-kata kotor yang dapat menimbulkan birahi; ;  ; 
ce ka ; untuk menginjak, ce nincak (menginjak); ;  ; 
cebleh ; hilang pengaruhnya atau sudah tidak menarik perhatian lagi; ;  ; 
cebor ; mandi, siram;ibak ; mandi ; siram
ceboy ; empuk agak basah, (kayu, bambu, dsb), tinggi besar namun lemah (orang);beletok ; haur ; bebeur
cebrek ; dingin sekali, becek, ada air yang menggenang;cambewek-camewek ; amlongan ; belok
cecega ; kesalahan atau dosa; ;  ; 
cecek ; titik dua diatas huruf; ;  ; 
cecek bocek ; perkara kecil (yang berkepanjangan at dibesar-besarkan); ;  ; 
cecel ; pelit, kikir;cudek ; koret ; medit
cecengkeleun ; kejang (kram) jari-jemari karena uratnya mengkerut; ;  ; 
cecepet ; sirip (ikan dsb); ;  ; 
cecepo; menawar barang murah sekali;nyecepo ;  ; 
nyecepo ; menawar barang murah sekali;cecepo ;  ; 
ceceremed ; panjang tangan, suka mencuri;calimud ; curaling ; 
cecewok ; cebok; ;  ; 
ceda ; bekas luka, pernah melakukan kejahatan; ;  ; 
cegek ; cela;canggala ; cawad ; 
cekap ; cukup;cumpong ; euleum ; 
cekas ; jelas, terang;atra ; bengras ; bentes
cekcok ; ribut, berisik, gaduh;baribin ; gareuwah ; geruh
cekek ; cekik; ;  ; 
cekel ; pegang;cangking ;  ; 
ceker ; kaki;cokor ; sampean ; suku
celebek ; makan;dahar ; neda ; tuang
celegedeg; kata untuk kata berdiri (dikatakan pada orang yang berdiri tanpa hormat di depan;celegeneng ;  ; 
celegeneng ; kata untuk kata berdiri (dikatakan pada orang yang berdiri tanpa hormat di depan;celegedeg ;  ; 
celekit at celetit ; rasa sakit dicubit, merasa sakit mendadak didalam tubuh; ;  ; 
celembeng ; banyak omongnya (anak kecil); ;  ; 
celemes; tupai yang tidak begitu merusak, lebih kecil dari bajing;celemenes at kel ;  ; 
celemenes at kel ; tupai yang tidak begitu merusak, lebih kecil dari bajing;celemes ;  ; 
celengceng; berjalan cepat seorang diri;nyelengceng ;  ; 
nyelengceng ; berjalan cepat seorang diri;celengceng ;  ; 
celong ; sudah tidak penuh, lekuk cekung (beras, kue, mata, dsb);kueh ; netra ; panon
celuk ; seru; ;  ; 
cempor ; lampu minyak; ;  ; 
cenang ; bisul kecil; ;  ; 
cengcle; benda kecil yang menumpang di atas barang-barang yang besar, tidak seimbang (pici yang kekecilan, burung pipit yang hinggap pada dahan besar, dsb);nyengcle ; bebeur ; bayabah. ngabayabah
nyengcle ; benda kecil yang menumpang di atas barang-barang yang besar, tidak seimbang (pici yang kekecilan, burung pipit yang hinggap pada dahan besar, dsb);cengcle ; bebeur ; bayabah. ngabayabah
cengek ; cabai rawit; ;  ; 
cengeng ; khusuk, tekun; ;  ; 
cengir ; seringai; ;  ; 
